model,payoff,spot,strike,maturity,volatility,drift,dividend,nb_stocks,nb_dates,nb_paths,algo,n_runs,price_mean,price_ci95_low,price_ci95_high,price_ci95_halfwidth,duration_mean,time_path_gen_mean,comp_time_mean
BlackScholes,MinPut,100,100,1.0,0.2,0.05,0.0,1,50,2000,LSM,20.0,6.040004855386485,5.911525980462764,6.168483730310206,0.12847887492372093,0.0281078577041626,0.01126708984375,0.0168407678604126
BlackScholes,MinPut,100,100,1.0,0.2,0.05,0.0,1,50,2000,NLSM,20.0,6.0045400084967,5.928617921163881,6.0804620958295175,0.07592208733281802,2.188065731525421,0.012599468231201172,2.17546626329422
BlackScholes,MinPut,100,100,1.0,0.2,0.05,0.0,1,50,2000,RLSM,20.0,5.720469244342183,5.639407943174906,5.80153054550946,0.08106130116727739,0.2182937860488892,0.01430121660232544,0.2039925694465637
