model,payoff,spot,strike,maturity,volatility,drift,dividend,nb_stocks,nb_dates,nb_paths,algo,n_runs,price_mean,price_ci95_halfwidth,duration_mean,time_path_gen_mean,comp_time_mean
BlackScholes,MinPut,100,100,1.0,0.2,0.05,0.0,1,50,20000,LSM,20.0,6.059239073583312,0.03301237973220066,0.2887968301773071,0.12616153955459594,0.16263529062271118
BlackScholes,MinPut,100,100,1.0,0.2,0.05,0.0,1,50,20000,NLSM,20.0,6.0296110485181025,0.0292292404770084,9.84993485212326,0.10091732740402222,9.74901752471924
BlackScholes,MinPut,100,100,1.0,0.2,0.05,0.0,1,50,20000,RLSM,20.0,6.009412190372584,0.0374917691405608,1.3643947124481202,0.13962618112564087,1.2247685313224792
