algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,use_path,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,25,100,100,0.0,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,6.0632329661106255,0.23221874237060547,0.08234977722167969,0.14986896514892578,,,,,,central,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,25,100,100,0.0,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,6.183414673439932,0.11641740798950195,0.061575889587402344,0.05484151840209961,,,,,,central,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,25,100,100,0.0,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,5.970192750341169,0.18474030494689941,0.07754898071289062,0.10719132423400879,,,,,,central,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,25,100,100,0.0,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,6.006514063108248,0.11514854431152344,0.06103038787841797,0.05411815643310547,,,,,,central,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,25,100,100,0.0,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,6.091945470289693,0.19063162803649902,0.07851529121398926,0.11211633682250977,,,,,,central,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,25,100,100,0.0,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,5.929116744794438,0.19668221473693848,0.08858323097229004,0.10809898376464844,,,,,,central,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,25,100,100,0.0,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,6.0620145579611515,0.154998779296875,0.07224655151367188,0.08275222778320312,,,,,,central,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,25,100,100,0.0,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,5.946771730048656,0.15235280990600586,0.06448197364807129,0.08787083625793457,,,,,,central,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,25,100,100,0.0,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,6.066325760311955,0.11646890640258789,0.06206846237182617,0.05440044403076172,,,,,,central,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,25,100,100,0.0,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,6.095751264900977,0.14488768577575684,0.06506991386413574,0.0798177719116211,,,,,,central,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,25,100,100,0.0,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,6.1225939999219126,0.1106882095336914,0.0507051944732666,0.059983015060424805,,,,,,central,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,25,100,100,0.0,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,6.117900590991689,0.14760732650756836,0.05118870735168457,0.09641861915588379,,,,,,central,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,25,100,100,0.0,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,6.090275593390781,0.17615413665771484,0.05962657928466797,0.11652755737304688,,,,,,central,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,25,100,100,0.0,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,6.04874170118619,0.18504738807678223,0.10972785949707031,0.07531952857971191,,,,,,central,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,25,100,100,0.0,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,6.015582200213083,0.1868433952331543,0.09308314323425293,0.09376025199890137,,,,,,central,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,25,100,100,0.0,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,6.058028678266359,0.1716320514678955,0.08338689804077148,0.08824515342712402,,,,,,central,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,25,100,100,0.0,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,6.033761879434032,0.11859750747680664,0.05706214904785156,0.06153535842895508,,,,,,central,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,25,100,100,0.0,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,5.9917199687617675,0.26476263999938965,0.10819792747497559,0.15656471252441406,,,,,,central,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,25,100,100,0.0,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,5.857518538201903,0.1474003791809082,0.07245278358459473,0.07494759559631348,,,,,,central,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,25,100,100,0.0,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,5.965274579051282,0.19144439697265625,0.09460163116455078,0.09684276580810547,,,,,,central,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,100,100,0.0,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,6.144130392061834,0.32939743995666504,0.13205504417419434,0.1973423957824707,,,,,,central,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,100,100,0.0,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,6.134118209282908,0.42657470703125,0.20889043807983398,0.21768426895141602,,,,,,central,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,100,100,0.0,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,6.076540311750953,0.38927221298217773,0.16882967948913574,0.220442533493042,,,,,,central,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,100,100,0.0,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,6.009524333741406,0.2929995059967041,0.13246488571166992,0.16053462028503418,,,,,,central,
