algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,use_path,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound
NLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.1989792970225106,65.28562498092651,55.373509883880615,9.912115097045898,,,,,,central,
NLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.1493554193098836,74.53222584724426,64.40604639053345,10.126179456710815,,,,,,central,
NLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.188679928151367,73.52374649047852,62.72116279602051,10.802583694458008,,,,,,central,
NLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.182492312231475,68.31917214393616,59.11100363731384,9.208168506622314,,,,,,central,
NLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.2273949060839757,70.26696991920471,60.66919708251953,9.59777283668518,,,,,,central,
NLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.2193432472494,68.99168157577515,58.50753736495972,10.48414421081543,,,,,,central,
NLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.2041687303296653,58.535494804382324,48.825907707214355,9.709587097167969,,,,,,central,
NLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.130867190760468,57.19225001335144,48.089778423309326,9.102471590042114,,,,,,central,
NLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.1763916692891248,54.825175285339355,45.8744215965271,8.950753688812256,,,,,,central,
NLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.170374502553179,47.83100938796997,38.58638954162598,9.244619846343994,,,,,,central,
NLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.200549183110705,65.67447519302368,58.04179668426514,7.632678508758545,,,,,,central,
NLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.2022956624588828,49.809624433517456,41.04955983161926,8.760064601898193,,,,,,central,
NLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.2205517577761933,50.88006567955017,42.961533308029175,7.918532371520996,,,,,,central,
NLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.137953180549068,56.631468534469604,47.944798707962036,8.686669826507568,,,,,,central,
NLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.1581063525354884,47.38162350654602,39.73547124862671,7.6461522579193115,,,,,,central,
NLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.099147613856801,48.75344181060791,39.658612966537476,9.094828844070435,,,,,,central,
NLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.1935602825306826,44.24012494087219,36.7760591506958,7.464065790176392,,,,,,central,
LSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.184056350402774,40.491865396499634,40.38258171081543,0.1092836856842041,,,,,,central,
LSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.236368817503648,34.42462420463562,34.3188796043396,0.10574460029602051,,,,,,central,
LSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.1999712777559797,39.89291286468506,39.750171184539795,0.14274168014526367,,,,,,central,
LSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.111114756854034,35.014140129089355,34.80436730384827,0.20977282524108887,,,,,,central,
LSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.082205099351799,38.17066431045532,38.06068730354309,0.10997700691223145,,,,,,central,
LSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.137018044179473,34.25242805480957,34.144510984420776,0.10791707038879395,,,,,,central,
LSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.150642596033135,35.58471727371216,35.479065895080566,0.1056513786315918,,,,,,central,
LSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.114702739186111,32.251394510269165,32.05651354789734,0.19488096237182617,,,,,,central,
LSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.117895092141486,42.71056509017944,42.56092834472656,0.14963674545288086,,,,,,central,
LSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.133566190018389,32.579707860946655,32.46721863746643,0.11248922348022461,,,,,,central,
LSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.1679473655084553,30.016282081604004,29.90930199623108,0.1069800853729248,,,,,,central,
LSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.264586546600531,32.259440422058105,32.15837550163269,0.10106492042541504,,,,,,central,
LSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.1524932844094784,35.330957889556885,35.23175072669983,0.09920716285705566,,,,,,central,
LSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.2573667734612255,32.16643261909485,32.06357669830322,0.10285592079162598,,,,,,central,
LSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.130968416903994,29.71885657310486,29.62065601348877,0.09820055961608887,,,,,,central,
LSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.1493312071008326,30.77549171447754,30.653209447860718,0.12228226661682129,,,,,,central,
LSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.1563050093144907,30.547940492630005,30.43314266204834,0.11479783058166504,,,,,,central,
LSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.0669545356164813,29.776214361190796,29.67725396156311,0.09896039962768555,,,,,,central,
LSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.15260696516994,30.17714786529541,30.07415771484375,0.10299015045166016,,,,,,central,
LSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.1124997504172778,29.09616780281067,28.99454092979431,0.10162687301635742,,,,,,central,
