algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,use_path,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound
NLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.0134066209598744,37.070627212524414,29.44732141494751,7.623305797576904,,,,,,central,
NLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,2.988305199580255,38.57473564147949,30.08888816833496,8.485847473144531,,,,,,central,
NLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,2.942520784442053,48.06004762649536,34.84422183036804,13.21582579612732,,,,,,central,
NLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,2.8739178852426823,39.46706414222717,30.15189266204834,9.315171480178833,,,,,,central,
NLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,2.858688395005552,42.61391854286194,29.78840398788452,12.825514554977417,,,,,,central,
NLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.00630662833211,43.908912658691406,29.931331872940063,13.977580785751343,,,,,,central,
NLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,2.9496520252600966,48.2430419921875,33.32156038284302,14.921481609344482,,,,,,central,
NLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,2.9461467169472515,48.17760467529297,36.737908601760864,11.439696073532104,,,,,,central,
NLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,2.9265262349172168,41.93952751159668,30.595288276672363,11.344239234924316,,,,,,central,
NLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,2.8749731063225203,46.12566661834717,34.015341997146606,12.110324621200562,,,,,,central,
