model,payoff,spot,strike,maturity,volatility,drift,dividend,nb_stocks,nb_dates,nb_paths,algo,n_runs,price_mean,price_std,price_se,price_ci95_halfwidth,price_ci95_low,price_ci95_high,duration_mean,duration_std,time_path_gen_mean,comp_time_mean
BlackScholes,MinPut,100,100,1.0,0.2,0.05,0.0,1,25,20000,LSM,20.0,6.0358338855362925,0.07691226420322939,0.01719810510618446,0.033708286008121535,6.002125599528171,6.069542171544414,0.16523622274398803,0.040941154585548284,0.07467516660690307,0.09056105613708496
BlackScholes,MinPut,100,100,1.0,0.2,0.05,0.0,1,25,20000,NLSM,20.0,6.023763241756135,0.0769845660105714,0.017214272281795742,0.03373997367231965,5.9900232680838155,6.057503215428454,5.170422625541687,0.6357924466428202,0.06589399576187134,5.104528629779816
BlackScholes,MinPut,100,100,1.0,0.2,0.05,0.0,1,25,20000,RLSM,20.0,6.017584552908233,0.07678076620699323,0.017168701260335553,0.03365065447025768,5.983933898437976,6.0512352073784905,0.6680273652076721,0.3269198222678397,0.08467618227005005,0.5833511829376221
BlackScholes,MinPut,100,100,1.0,0.2,0.05,0.0,1,50,20000,LSM,20.0,6.088311185952096,0.05697983235956972,0.012741077850254013,0.024972512586497866,6.063338673365599,6.113283698538594,0.35252065658569337,0.05353148936731192,0.1388313889503479,0.21368926763534546
BlackScholes,MinPut,100,100,1.0,0.2,0.05,0.0,1,50,20000,NLSM,20.0,6.03409827157188,0.07484536494460874,0.016735932381692492,0.03280242746811728,6.001295844103763,6.066900699039997,9.2018021941185,0.5627942895117735,0.09809311628341674,9.103709077835083
BlackScholes,MinPut,100,100,1.0,0.2,0.05,0.0,1,50,20000,RLSM,20.0,6.010448601404839,0.08458613135778874,0.01891403396697422,0.03707150657526947,5.973377094829569,6.047520107980109,1.2884899735450746,0.6959020813893978,0.11086689233779908,1.1776230812072754
BlackScholes,MinPut,100,100,1.0,0.2,0.05,0.0,1,100,20000,LSM,20.0,6.0712727947048695,0.06252287377767685,0.01398053959155245,0.0274018575994428,6.043870937105427,6.098674652304312,0.6765523433685303,0.10562885525829671,0.2525531053543091,0.4239992380142212
BlackScholes,MinPut,100,100,1.0,0.2,0.05,0.0,1,100,20000,NLSM,20.0,6.03127452694961,0.07795079826714496,0.017430328382570894,0.034163443629838953,5.997111083319771,6.065437970579449,19.124940407276153,1.1556922894110073,0.2228085994720459,18.902131807804107
BlackScholes,MinPut,100,100,1.0,0.2,0.05,0.0,1,100,20000,RLSM,20.0,6.022781290047056,0.0834690594995406,0.018664249105894735,0.03658192824755368,5.986199361799502,6.059363218294609,2.1799412965774536,1.0081587705435622,0.2652071833610535,1.9147341132164002
BlackScholes,MinPut,100,100,1.0,0.2,0.05,0.0,1,200,20000,LSM,20.0,6.06135924944778,0.07045913519798264,0.015755141593853727,0.030880077523953303,6.030479171923827,6.092239326971733,1.3850731372833252,0.20862869889058902,0.5045962572097779,0.8804768800735474
BlackScholes,MinPut,100,100,1.0,0.2,0.05,0.0,1,200,20000,NLSM,20.0,6.001588564853487,0.04074180443375505,0.009110144423987863,0.01785588307101621,5.98373268178247,6.019444447924503,39.04931528568268,3.121493842871614,0.4494274377822876,38.59988784790039
BlackScholes,MinPut,100,100,1.0,0.2,0.05,0.0,1,200,20000,RLSM,20.0,5.980986024316742,0.0943503713152851,0.021097384396332373,0.04135087341681145,5.939635150899931,6.022336897733553,4.4893882989883425,2.1938947729287035,0.5829452872276306,3.906443011760712
