model,payoff,spot,strike,maturity,volatility,drift,dividend,nb_stocks,nb_dates,nb_paths,algo,n_runs,price_mean,price_std,price_se,price_ci95_halfwidth,price_ci95_low,price_ci95_high,duration_mean,duration_std,time_path_gen_mean,comp_time_mean
BlackScholes,MinPut,100,100,1.0,0.2,0.05,0.0,1,50,2000,LSM,20.0,6.040004855386485,0.2931505081654419,0.06555044638965353,0.12847887492372093,5.911525980462764,6.168483730310206,0.028107857704162596,0.00544747990790651,0.01126708984375,0.0168407678604126
BlackScholes,MinPut,100,100,1.0,0.2,0.05,0.0,1,50,2000,NLSM,20.0,6.004540008496699,0.17323157986720084,0.0387357588432745,0.07592208733281802,5.928617921163881,6.080462095829517,2.188065731525421,0.5125312608222201,0.012599468231201172,2.17546626329422
BlackScholes,MinPut,100,100,1.0,0.2,0.05,0.0,1,50,2000,RLSM,20.0,5.7204692443421825,0.184957734443485,0.04135780671799867,0.08106130116727739,5.639407943174906,5.8015305455094595,0.21829378604888916,0.10318787431019041,0.01430121660232544,0.20399256944656372
BlackScholes,MinPut,100,100,1.0,0.2,0.05,0.0,1,50,5000,LSM,20.0,5.986984402994237,0.09989709147736452,0.022337668729790195,0.04378183071038878,5.943202572283848,6.030766233704625,0.08545069694519043,0.024803622372375052,0.0387360692024231,0.046714627742767335
BlackScholes,MinPut,100,100,1.0,0.2,0.05,0.0,1,50,5000,NLSM,20.0,5.984387629276371,0.08642925913083861,0.01932616986614995,0.0378792929376539,5.9465083363387174,6.022266922214025,2.847116696834564,0.286405476203326,0.02998751401901245,2.8171291828155516
BlackScholes,MinPut,100,100,1.0,0.2,0.05,0.0,1,50,5000,RLSM,20.0,5.9208097476107,0.1447624491118131,0.03236986768033681,0.06344494065346015,5.857364806957239,5.98425468826416,0.8807644009590149,0.6536160653117766,0.038055145740509035,0.8427092552185058
BlackScholes,MinPut,100,100,1.0,0.2,0.05,0.0,1,50,20000,LSM,20.0,6.0403165475244744,0.08245606775543388,0.018437737265847864,0.036137965041061815,6.004178582483412,6.076454512565537,0.38093975782394407,0.06434208695098698,0.14911625385284424,0.23182350397109985
BlackScholes,MinPut,100,100,1.0,0.2,0.05,0.0,1,50,20000,NLSM,20.0,6.035766918408162,0.07924575768098822,0.017719890110316574,0.034730984616220484,6.0010359337919414,6.070497903024382,9.447004675865173,0.680307316382203,0.11799919605255127,9.329005479812622
BlackScholes,MinPut,100,100,1.0,0.2,0.05,0.0,1,50,20000,RLSM,20.0,5.998450990014993,0.07530125843918087,0.016837873266128813,0.033002231601612475,5.96544875841338,6.031453221616605,1.237680184841156,0.5438821597148632,0.15567970275878906,1.082000482082367
BlackScholes,MinPut,100,100,1.0,0.2,0.05,0.0,1,50,100000,LSM,20.0,6.060487485394907,0.03820350794444262,0.008542564074272695,0.01674342558557448,6.043744059809332,6.077230910980481,2.1936405539512633,0.44427545159165666,0.6994801759719849,1.4941603779792785
BlackScholes,MinPut,100,100,1.0,0.2,0.05,0.0,1,50,100000,NLSM,20.0,6.020804511026226,0.04639524523770946,0.010374292218429173,0.020333612748121177,6.000470898278104,6.041138123774347,43.46942490339279,1.7334834800561634,0.640833032131195,42.828591871261594
BlackScholes,MinPut,100,100,1.0,0.2,0.05,0.0,1,50,100000,RLSM,20.0,6.060874302004928,0.03619457698230312,0.008093353454927897,0.015862972771658677,6.045011329233269,6.076737274776587,4.51327623128891,0.8346010021111732,0.782173466682434,3.731102764606476
