algo,price,fit_time_s,hedge_time_s,loss_mean,loss_p95,var95,cvar95,n_paths
LSM,28.92217362961914,0.5402684211730957,3.8574955463409424,4.223849438913212,11.94542112162402,12.16641266886641,15.915663543459745,500
NLSM,27.035846575818283,14.99223518371582,12.725978136062622,7.892661957568695,20.23921926772059,20.35745983172174,25.309038962689147,500
RLSM,28.954555496856788,1.9942703247070312,4.588082790374756,5.510053118950947,15.84873364766926,16.079771734211413,21.472003380823626,500
