payoff,algo,nb_stocks,price,fit_time_s,path_gen_s
MaxCall,LSM,50,57.71058351392151,43.09744715690613,1.3826992511749268
MaxCall,RLSM,50,57.313850683996314,4.657304048538208,1.4529025554656982
MaxCall,LSM,100,64.94552611059643,548.6227557659149,2.81941819190979
MaxCall,RLSM,100,65.56721162035345,6.348745107650757,2.801334857940674
