stock_model,algo,nb_stocks,price,fit_time_s,path_gen_s
Heston,LSM,5,18.99516156809955,10.015912055969238,9.73811650276184
Heston,NLSM,5,17.799494678367672,23.841069221496582,9.79283356666565
Heston,RLSM,5,18.902265070849527,11.244283676147461,9.77036714553833
HestonWithVar,LSM,5,18.99516156809955,10.036515712738037,9.800853729248047
HestonWithVar,NLSM,5,17.799494678367672,22.59533166885376,9.725035190582275
HestonWithVar,RLSM,5,18.902265070849527,11.38895845413208,9.946885347366333
