algo,V0_price_mean,delta0,VaR_0.99,CVaR_0.99,recommended_margin_0.99,recommended_sell_price_0.99
LSM,6.040004855386485,-0.4232066590603929,20.379301076493306,24.939823984889788,20.379301076493306,26.41930593187979
NLSM,6.0045400084967,-0.4178523957477043,20.09849258661728,24.591376499744126,20.09849258661728,26.10303259511398
RLSM,5.720469244342183,-0.4169380267397949,20.32544317087019,24.810259951690533,20.32544317087019,26.045912415212374
