algo,nb_dates,n_runs,L_mean_mean,VaR_mean,CVaR_mean,VaR_std_across_runs,CVaR_std_across_runs
LSM,10,20,3.0037977113127163,19.17777974146861,23.42482587437452,0.8366583950790245,1.145038455382633
NLSM,10,20,3.024260993856628,18.975706042899816,23.235720561062116,0.7368488601526276,0.8978975689390464
RLSM,10,20,2.9502502928276297,19.153101629944295,23.43378209591824,0.6693508175465902,0.8510961703620263
LSM,25,20,3.665397058862646,19.929262873634205,24.45213201205868,0.6393623693317657,1.0754633207065978
NLSM,25,20,3.6112799468994026,19.69768873534371,24.12934758360194,0.5748877037814915,0.7844740815786211
RLSM,25,20,3.523881748672295,19.63897176681359,24.111282948651056,0.6749243362372735,1.0789574359943968
LSM,50,20,3.9304250115275843,20.06825342731097,24.55492527032393,0.6197375219823656,0.9364663253035609
NLSM,50,20,3.9252952100872323,19.874377245044055,24.295727661220162,0.7437799494113505,1.0850094263193044
RLSM,50,20,3.86149102568476,20.568444443529636,25.187909829515355,0.7552948473562817,0.8989655548223924
LSM,100,20,4.139961851986378,20.346388970912294,24.871402688663302,0.8000942365042096,1.0764546563118607
NLSM,100,20,4.140306191684167,20.183680210213375,24.667980328665337,0.49562136426445785,0.7509975344185261
RLSM,100,20,4.0509821639777,20.332137508479263,24.8688797948192,0.6782256557668634,0.8471727049185989
