algo,nb_dates,VaR,CVaR,L_mean,L_std,L_samples
LSM,50,20.38528664265611,24.79414139915892,3.8667388566060734,4.958395673065456,1000000
NLSM,50,20.23968397951666,24.62619857276446,3.8609201422221657,4.9399462646197385,1000000
RLSM,50,20.38290142343192,24.83992795429049,3.7834367526174733,4.973661603975334,1000000
