algo,V0,delta0_from_csv,VaR0.99_buyhold,CVaR0.99_buyhold,VaR0.99_rebalance,CVaR0.99_rebalance,L_mean_buyhold,L_mean_rebalance
LSM,5.97279639553966,-0.4192441213308724,20.61195316741129,25.68106932252617,6.250226879653031,7.434734512922749,4.184550181644936,0.955444192895746
NLSM,6.064422809927763,-0.4222905814154103,20.712595055547567,25.81307810406769,6.158600465264938,7.3431080985346515,4.1009391553120045,0.8638177785076471
RLSM,6.086387937702824,-0.4152985009782979,20.24816532288688,25.279271106501927,6.136635337489826,7.321142970759593,4.060876163117885,0.8418526507325913
